Team,Tag,Topic,f1_macro
Captain Levi,levirank_baseline_large_duo_t5,3,0.272
Captain Levi,levirank_baseline_large_duo_t5,2,0.426
Captain Levi,levirank_dense_initial_retrieval,100,0.108
Captain Levi,levirank_dense_initial_retrieval,95,0.117
Captain Levi,levirank_dense_initial_retrieval,93,0.25
Captain Levi,levirank_dense_initial_retrieval,92,0.1
Captain Levi,levirank_dense_initial_retrieval,91,0.19
Captain Levi,levirank_dense_initial_retrieval,88,0.33
Captain Levi,levirank_dense_initial_retrieval,86,0.364
Captain Levi,levirank_dense_initial_retrieval,84,0.225
Captain Levi,levirank_dense_initial_retrieval,78,0.217
Captain Levi,levirank_dense_initial_retrieval,77,0.252
Captain Levi,levirank_dense_initial_retrieval,76,0.263
Captain Levi,levirank_dense_initial_retrieval,74,0.212
Captain Levi,levirank_dense_initial_retrieval,72,0.212
Captain Levi,levirank_dense_initial_retrieval,70,0.285
Captain Levi,levirank_dense_initial_retrieval,69,0.297
Captain Levi,levirank_dense_initial_retrieval,68,0.368
Captain Levi,levirank_dense_initial_retrieval,67,0.37
Captain Levi,levirank_dense_initial_retrieval,62,0.282
Captain Levi,levirank_dense_initial_retrieval,61,0.21
Captain Levi,levirank_dense_initial_retrieval,60,0.064
Captain Levi,levirank_dense_initial_retrieval,59,0.11
Captain Levi,levirank_dense_initial_retrieval,58,0.231
Captain Levi,levirank_dense_initial_retrieval,56,0.237
Captain Levi,levirank_dense_initial_retrieval,55,0.197
Captain Levi,levirank_dense_initial_retrieval,54,0.217
Captain Levi,levirank_dense_initial_retrieval,53,0.204
Captain Levi,levirank_dense_initial_retrieval,51,0.404
Captain Levi,levirank_dense_initial_retrieval,48,0.2
Captain Levi,levirank_dense_initial_retrieval,43,0.124
Captain Levi,levirank_dense_initial_retrieval,42,0.358
Captain Levi,levirank_dense_initial_retrieval,37,0.302
Captain Levi,levirank_dense_initial_retrieval,36,0.376
Captain Levi,levirank_dense_initial_retrieval,34,0.347
Captain Levi,levirank_dense_initial_retrieval,33,0.275
Captain Levi,levirank_dense_initial_retrieval,30,0.17
Captain Levi,levirank_dense_initial_retrieval,28,0.399
Captain Levi,levirank_dense_initial_retrieval,27,0.286
Captain Levi,levirank_dense_initial_retrieval,26,0.276
Captain Levi,levirank_dense_initial_retrieval,25,0.415
Captain Levi,levirank_dense_initial_retrieval,23,0.25
Captain Levi,levirank_dense_initial_retrieval,22,0.262
Captain Levi,levirank_dense_initial_retrieval,19,0.392
Captain Levi,levirank_dense_initial_retrieval,18,0.199
Captain Levi,levirank_dense_initial_retrieval,17,0.028
Captain Levi,levirank_dense_initial_retrieval,14,0.179
Captain Levi,levirank_dense_initial_retrieval,12,0.249
Captain Levi,levirank_dense_initial_retrieval,9,0.31
Captain Levi,levirank_dense_initial_retrieval,8,0.387
Captain Levi,levirank_dense_initial_retrieval,3,0.268
Captain Levi,levirank_dense_initial_retrieval,2,0.482
Captain Levi,levirank_psuedo_relevance_feedback+voting,100,0.145
Captain Levi,levirank_psuedo_relevance_feedback+voting,95,0.065
Captain Levi,levirank_psuedo_relevance_feedback+voting,93,0.189
Captain Levi,levirank_psuedo_relevance_feedback+voting,92,0.212
Captain Levi,levirank_psuedo_relevance_feedback+voting,91,0.065
Captain Levi,levirank_psuedo_relevance_feedback+voting,88,0.223
Captain Levi,levirank_psuedo_relevance_feedback+voting,86,0.27
Captain Levi,levirank_psuedo_relevance_feedback+voting,84,0.167
Captain Levi,levirank_psuedo_relevance_feedback+voting,78,0.239
Captain Levi,levirank_psuedo_relevance_feedback+voting,77,0.292
Captain Levi,levirank_psuedo_relevance_feedback+voting,76,0.152
Captain Levi,levirank_psuedo_relevance_feedback+voting,74,0.165
Captain Levi,levirank_psuedo_relevance_feedback+voting,72,0.213
Captain Levi,levirank_psuedo_relevance_feedback+voting,70,0.183
Captain Levi,levirank_psuedo_relevance_feedback+voting,69,0.228
Captain Levi,levirank_psuedo_relevance_feedback+voting,68,0.239
Captain Levi,levirank_psuedo_relevance_feedback+voting,67,0.232
Captain Levi,levirank_psuedo_relevance_feedback+voting,62,0.17
Captain Levi,levirank_psuedo_relevance_feedback+voting,61,0.199
Captain Levi,levirank_psuedo_relevance_feedback+voting,60,0.074
Captain Levi,levirank_psuedo_relevance_feedback+voting,59,0.078
Captain Levi,levirank_psuedo_relevance_feedback+voting,58,0.15
Captain Levi,levirank_psuedo_relevance_feedback+voting,56,0.082
Captain Levi,levirank_psuedo_relevance_feedback+voting,55,0.304
Captain Levi,levirank_psuedo_relevance_feedback+voting,54,0.172
Captain Levi,levirank_psuedo_relevance_feedback+voting,53,0.292
Captain Levi,levirank_psuedo_relevance_feedback+voting,51,0.39
Captain Levi,levirank_psuedo_relevance_feedback+voting,48,0.121
Captain Levi,levirank_psuedo_relevance_feedback+voting,43,0.024
Captain Levi,levirank_psuedo_relevance_feedback+voting,42,0.183
Captain Levi,levirank_psuedo_relevance_feedback+voting,37,0.138
Captain Levi,levirank_psuedo_relevance_feedback+voting,36,0.265
Captain Levi,levirank_psuedo_relevance_feedback+voting,34,0.187
Captain Levi,levirank_psuedo_relevance_feedback+voting,33,0.187
Captain Levi,levirank_psuedo_relevance_feedback+voting,30,0.134
Captain Levi,levirank_psuedo_relevance_feedback+voting,28,0.201
Captain Levi,levirank_psuedo_relevance_feedback+voting,27,0.172
Captain Levi,levirank_psuedo_relevance_feedback+voting,26,0.088
Captain Levi,levirank_psuedo_relevance_feedback+voting,25,0.217
Captain Levi,levirank_psuedo_relevance_feedback+voting,23,0.157
Captain Levi,levirank_psuedo_relevance_feedback+voting,22,0.195
